,Rsquared,Resample,Modelo
0,0.42412854539699196,Rep1,1.0
1,0.41341227302094774,Rep1,1.0
2,0.3999749619923396,Rep1,1.0
3,0.3960534382768248,Rep1,1.0
4,0.3174176303020507,Rep1,1.0
5,0.4499596627140944,Rep1,2.0
6,0.43668993566868575,Rep1,2.0
7,0.42343271872222965,Rep1,2.0
8,0.4223228282538859,Rep1,2.0
9,0.3851968387526786,Rep1,2.0
0,0.42412854539699196,Rep2,1.0
1,0.41341227302094774,Rep2,1.0
2,0.3999749619923396,Rep2,1.0
3,0.3960534382768248,Rep2,1.0
4,0.3174176303020507,Rep2,1.0
5,0.4499596627140944,Rep2,2.0
6,0.43668993566868575,Rep2,2.0
7,0.42343271872222965,Rep2,2.0
8,0.4223228282538859,Rep2,2.0
9,0.3851968387526786,Rep2,2.0
0,0.42412854539699196,Rep3,1.0
1,0.41341227302094774,Rep3,1.0
2,0.3999749619923396,Rep3,1.0
3,0.3960534382768248,Rep3,1.0
4,0.3174176303020507,Rep3,1.0
5,0.4499596627140944,Rep3,2.0
6,0.43668993566868575,Rep3,2.0
7,0.42343271872222965,Rep3,2.0
8,0.4223228282538859,Rep3,2.0
9,0.3851968387526786,Rep3,2.0
0,0.42412854539699196,Rep4,1.0
1,0.41341227302094774,Rep4,1.0
2,0.3999749619923396,Rep4,1.0
3,0.3960534382768248,Rep4,1.0
4,0.3174176303020507,Rep4,1.0
5,0.4499596627140944,Rep4,2.0
6,0.43668993566868575,Rep4,2.0
7,0.42343271872222965,Rep4,2.0
8,0.4223228282538859,Rep4,2.0
9,0.3851968387526786,Rep4,2.0
0,0.42412854539699196,Rep5,1.0
1,0.41341227302094774,Rep5,1.0
2,0.3999749619923396,Rep5,1.0
3,0.3960534382768248,Rep5,1.0
4,0.3174176303020507,Rep5,1.0
5,0.4499596627140944,Rep5,2.0
6,0.43668993566868575,Rep5,2.0
7,0.42343271872222965,Rep5,2.0
8,0.4223228282538859,Rep5,2.0
9,0.3851968387526786,Rep5,2.0
0,0.42412854539699196,Rep6,1.0
1,0.41341227302094774,Rep6,1.0
