,Rsquared,Resample,Modelo
2,0.3999749619923396,Rep19,1.0
3,0.3960534382768248,Rep19,1.0
4,0.3174176303020507,Rep19,1.0
5,0.4499596627140944,Rep19,2.0
6,0.43668993566868575,Rep19,2.0
7,0.42343271872222965,Rep19,2.0
8,0.4223228282538859,Rep19,2.0
9,0.3851968387526786,Rep19,2.0
0,0.42412854539699196,Rep20,1.0
1,0.41341227302094774,Rep20,1.0
2,0.3999749619923396,Rep20,1.0
3,0.3960534382768248,Rep20,1.0
4,0.3174176303020507,Rep20,1.0
5,0.4499596627140944,Rep20,2.0
6,0.43668993566868575,Rep20,2.0
7,0.42343271872222965,Rep20,2.0
8,0.4223228282538859,Rep20,2.0
9,0.3851968387526786,Rep20,2.0
