,Modelo,Número de Parámetros,R2 Train,R2 Test
0,Modelo aleatorio,26,0.384612697527249,0.38649712587615326
1,Modelo Backward AIC,97,0.4158965393088233,0.3999841026840144
2,Modelo Forward AIC,93,0.41525841099863736,0.3996387382109977
3,Modelo Stepwise AIC,93,0.4152584109986365,0.3996387382108584
4,Modelo Backward BIC,33,0.3976651883550951,0.3864988456137102
5,Modelo Forward BIC,32,0.39525675653721104,0.3919889195395543
6,Modelo Stepwise BIC,32,0.3952567565372106,0.3919889195395545
